Test Number, A, B, ALU_OP, Shift_Amt, Result, NE, LT, OVF, Expected Result, Expected NE, Expected LT, Expected OVF
1,          0,          0, 0, 0,          0,z,z,x,          0,0,0,0
2,          1,          1, 0, 0,          X,z,z,x,          2,0,0,0
3,          2,          2, 0, 0,          X,z,z,x,          4,0,0,0
4,          4,          4, 0, 0,          X,z,z,x,          8,0,0,0
5,          8,          8, 0, 0,          X,z,z,x,         16,0,0,0
6,         16,         16, 0, 0,          X,z,z,x,         32,0,0,0
7,         32,         32, 0, 0,          X,z,z,x,         64,0,0,0
8,         64,         64, 0, 0,          X,z,z,x,        128,0,0,0
9,        128,        128, 0, 0,          X,z,z,x,        256,0,0,0
10,        256,        256, 0, 0,          X,z,z,x,        512,0,0,0
11,        512,        512, 0, 0,          X,z,z,x,       1024,0,0,0
12,       1024,       1024, 0, 0,          X,z,z,x,       2048,0,0,0
13,       2048,       2048, 0, 0,          X,z,z,x,       4096,0,0,0
14,       4096,       4096, 0, 0,          X,z,z,x,       8192,0,0,0
15,       8192,       8192, 0, 0,          X,z,z,x,      16384,0,0,0
16,      16384,      16384, 0, 0,          X,z,z,x,      32768,0,0,0
17,      32768,      32768, 0, 0,          X,z,z,x,      65536,0,0,0
18,      65536,      65536, 0, 0,          X,z,z,x,     131072,0,0,0
19,     131072,     131072, 0, 0,          X,z,z,x,     262144,0,0,0
20,     262144,     262144, 0, 0,          X,z,z,x,     524288,0,0,0
21,     524288,     524288, 0, 0,          X,z,z,x,    1048576,0,0,0
22,    1048576,    1048576, 0, 0,          X,z,z,x,    2097152,0,0,0
23,    2097152,    2097152, 0, 0,          X,z,z,x,    4194304,0,0,0
24,    4194304,    4194304, 0, 0,          X,z,z,x,    8388608,0,0,0
25,    8388608,    8388608, 0, 0,          X,z,z,x,   16777216,0,0,0
26,   16777216,   16777216, 0, 0,          X,z,z,x,   33554432,0,0,0
27,   33554432,   33554432, 0, 0,          X,z,z,x,   67108864,0,0,0
28,   67108864,   67108864, 0, 0,          X,z,z,x,  134217728,0,0,0
29,  134217728,  134217728, 0, 0,          X,z,z,x,  268435456,0,0,0
30,  268435456,  268435456, 0, 0,          X,z,z,x,  536870912,0,0,0
31,  536870912,  536870912, 0, 0,          X,z,z,x, 1073741824,0,0,0
32, 1073741824, 1073741824, 0, 0,          X,z,z,1,-2147483648,0,0,1
33,-2147483648,-2147483648, 0, 0,          0,z,z,x,          0,0,0,1
